FechaPrediccion(UTC)	Hora	Vel78m(m/s)	Dir_78m
2015/01/02 00:00 9.154944 260.01587
2015/01/02 01:00 9.565593 262.5201
2015/01/02 02:00 9.546236 264.1321
2015/01/02 03:00 9.19455 263.7703
2015/01/02 04:00 8.921216 263.32986
2015/01/02 05:00 8.828494 263.12643
2015/01/02 06:00 8.879058 263.2378
2015/01/02 07:00 8.944568 264.9992
2015/01/02 08:00 8.823277 264.89627
2015/01/02 09:00 8.4824295 261.39725
2015/01/02 10:00 8.407497 258.45407
2015/01/02 11:00 8.509045 258.4431
2015/01/02 12:00 8.337107 259.0919
2015/01/02 13:00 8.013463 256.8429
2015/01/02 14:00 8.202872 254.15462
2015/01/02 15:00 9.132702 251.64488
2015/01/02 16:00 9.907785 247.93246
2015/01/02 17:00 10.50099 244.26006
2015/01/02 18:00 10.915628 240.99509
2015/01/02 19:00 11.313921 239.1071
2015/01/02 20:00 11.754801 238.00824
2015/01/02 21:00 12.071182 237.61493
2015/01/02 22:00 12.147233 239.0227
2015/01/02 23:00 11.986494 241.54323
2015/01/03 00:00 11.278555 246.99425
2015/01/03 01:00 11.225846 255.59319
2015/01/03 02:00 10.929831 260.56595
2015/01/03 03:00 10.345475 266.20193
2015/01/03 04:00 9.393319 275.988
2015/01/03 05:00 8.782741 284.72113
2015/01/03 06:00 7.1553574 284.69028
2015/01/03 07:00 6.009803 285.48245
2015/01/03 08:00 6.6083603 278.91898
2015/01/03 09:00 6.763652 273.3529
2015/01/03 10:00 6.5187964 269.09302
2015/01/03 11:00 6.6717644 262.66843
2015/01/03 12:00 6.9931893 258.11597
2015/01/03 13:00 7.3118916 255.18855
2015/01/03 14:00 8.125562 253.11298
2015/01/03 15:00 9.409117 252.6862
2015/01/03 16:00 10.240387 253.4389
2015/01/03 17:00 10.383531 251.83414
2015/01/03 18:00 10.17024 247.72165
2015/01/03 19:00 10.136047 244.82202
2015/01/03 20:00 9.911719 241.21239
2015/01/03 21:00 9.82895 236.54196
2015/01/03 22:00 10.076424 234.53804
2015/01/03 23:00 9.994192 232.55571
2015/01/04 00:00 9.021378 232.81213
2015/01/04 01:00 8.614151 232.77864
2015/01/04 02:00 8.523583 229.65294
2015/01/04 03:00 8.319956 223.00375
2015/01/04 04:00 8.690136 218.04791
2015/01/04 05:00 8.998591 220.26357
